CaseID,Consent,English_Fluency,Over_18,Age,Gender,Gender_text,Been_in_prison,Viol1_UH1_refined,Viol1_UH2_rational-and-logical,Viol1_UH3_sense-of-morality,Viol1_UH4_civilised,Viol1_HN1_open-minded,Viol1_HN2_emotionally-responsive,Viol1_HN3_depth-of-character,Viol1_HN4_interpersonally-warm,Viol1_harm,Viol2_UH1_refined,Viol2_UH2_rational-and-logical,Viol2_UH3_sense-of-morality,Viol2_UH4_civilised,Viol2_HN1_open-minded,Viol2_HN2_emotionally-responsive,Viol2_HN3_depth-of-character,Viol2_HN4_interpersonally-warm,Viol2_harm,Viol3_UH1_refined,Viol3_UH2_rational-and-logical,Viol3_UH3_sense-of-morality,Viol3_UH4_civilised,Viol3_HN1_open-minded,Viol3_HN2_emotionally-responsive,Viol3_HN3_depth-of-character,Viol3_HN4_interpersonally-warm,Viol3_harm,Viol4_UH1_refined,Viol4_UH2_rational-and-logical,Viol4_UH3_sense-of-morality,Viol4_UH4_civilised,Viol4_HN1_open-minded,Viol4_HN2_emotionally-responsive,Viol4_HN3_depth-of-character,Viol4_HN4_interpersonally-warm,Viol4_harm,Viol5_UH1_refined,Viol5_UH2_rational-and-logical,Viol5_UH3_sense-of-morality,Viol5_UH4_civilised,Viol5_HN1_open-minded,Viol5_HN2_emotionally-responsive,Viol5_U_HN3_depth-of-character,Viol5_HN4_interpersonally-warm,Viol5_harm,UH_mean,HN_mean,Harm_mean,Outlier_Animalistic_model,Outlier_Mechanistic_model
1,I agree to the above and consent to my participation in this study,Yes,Yes,20,Male,,No,25,8,13,27,25,58,19,33,63,13,7,24,47,7,57,38,30,69,22,29,32,31,25,55,51,34,75,26,10,17,34,25,73,14,26,64,28,19,16,30,21,61,37,35,72,22.9,36.2,68.6,No,No
2,I agree to the above and consent to my participation in this study,Yes,Yes,29,Female,,No,11,0,7,36,52,63,48,16,85,12,23,35,13,28,71,49,14,74,19,55,8,17,41,48,52,43,100,16,15,33,33,0,75,33,35,75,12,9,30,11,32,72,52,26,93,19.75,42.5,85.4,No,No
3,I agree to the above and consent to my participation in this study,Yes,Yes,18,Male,,No,34,30,13,19,11,36,36,14,71,24,0,0,24,0,74,23,57,27,27,22,17,24,13,43,36,16,77,58,0,27,25,30,76,66,39,16,34,5,15,20,11,91,60,54,61,20.9,39.3,50.4,No,No
4,I agree to the above and consent to my participation in this study,Yes,Yes,27,Male,,No,9,13,25,25,25,61,74,14,66,0,0,34,0,5,79,31,0,93,9,18,9,17,19,47,73,4,81,0,0,32,8,7,85,25,0,88,0,0,0,0,0,22,33,0,96,9.95,30.2,84.8,No,No
5,I agree to the above and consent to my participation in this study,Yes,Yes,33,Female,,No,18,11,44,11,27,92,44,43,65,18,3,30,18,9,100,53,45,78,15,23,35,5,50,69,50,47,90,52,9,44,2,19,100,49,7,81,5,4,37,18,38,100,51,51,77,20.1,52.2,78.2,No,No
6,I agree to the above and consent to my participation in this study,Yes,Yes,20,Female,,No,40,17,40,40,19,65,39,31,68,45,34,37,32,40,36,35,37,66,43,28,36,22,36,84,34,32,62,42,32,43,36,46,100,38,39,40,48,0,40,0,33,86,37,25,60,32.75,44.6,59.2,No,No
7,I agree to the above and consent to my participation in this study,Yes,Yes,21,Female,,No,0,0,0,0,0,100,0,0,91,0,0,0,0,0,93,0,6,64,0,0,0,0,0,35,5,0,77,14,0,32,3,33,100,31,31,54,0,0,0,0,8,29,0,0,76,2.45,23.55,72.4,No,No
8,I agree to the above and consent to my participation in this study,Yes,Yes,21,"Other, please specify:",non-binary,No,54,57,58,54,41,68,62,58,61,27,29,28,30,38,81,37,36,82,40,65,35,33,42,62,43,57,70,47,29,45,45,62,74,56,54,65,45,34,41,35,45,69,43,63,67,41.55,54.55,69,No,No
9,I agree to the above and consent to my participation in this study,Yes,Yes,29,Male,,No,35,21,59,23,35,26,30,29,73,30,7,25,13,24,1,27,0,100,41,72,34,36,59,28,44,29,71,27,14,12,14,32,25,24,22,62,26,12,25,20,40,22,25,9,80,27.3,26.55,77.2,No,No
10,I agree to the above and consent to my participation in this study,Yes,Yes,23,Female,,No,13,0,0,0,50,0,42,0,89,38,0,0,0,50,0,51,0,100,0,30,0,0,51,0,30,0,64,0,23,56,10,57,0,56,26,48,55,0,14,0,52,15,56,0,75,11.95,26.8,75.2,No,No
