CaseID,Desirability_condition,Consent,English_Fluency,Over_18,Age,Gender,Gender_text,Been_in_prison,Thief1_UH1_cultured/corrupt,Thief1_UH2_civilised/controlling,Thief1_UH3_sophisticated/arrogant,Thief1_UH4_moral/bitter,Thief1_HN1_generous/jealous,Thief1_HN2_open-minded/selfish,Thief1_HN3_warm/spiteful,Thief1_HN4_kind/cruel,Thief1_harm,Thief2_UH1_cultured/corrupt,Thief2_UH2_civilised/controlling,Thief2_UH3_sophisticated/arrogant,Thief2_UH4_moral/bitter,Thief2_HN1_generous/jealous,Thief2_HN2_open-minded/selfish,Thief2_HN3_warm/spiteful,Thief2_HN4_kind/cruel,Thief2_harm,Thief3_UH1_cultured/corrupt,Thief3_UH2_civilised/controlling,Thief3_UH3_sophisticated/arrogant,Thief3_UH4_moral/bitter,Thief3_HN1_generous/jealous,Thief3_HN2_open-minded/selfish,Thief3_HN3_warm/spiteful,Thief3_HN4_kind/cruel,Thief3_harm,Thief4_UH1_cultured/corrupt,Thief4_UH2_civilised/controlling,Thief4_UH3_sophisticated/arrogant,Thief4_UH4_moral/bitter,Thief4_HN1_generous/jealous,Thief4_HN2_open-minded/selfish,Thief4_HN3_warm/spiteful,Thief4_HN4_kind/cruel,Thief4_harm,Thief5_UH1_cultured/corrupt,Thief5_UH2_civilised/controlling,Thief5_UH3_sophisticated/arrogant,Thief5_UH4_moral/bitter,Thief5_HN1_generous/jealous,Thief5_HN2_open-minded/selfish,Thief5_HN3_warm/spiteful,Thief5_HN4_kind/cruel,Thief5_harm,UH_mean,HN_mean,Harm_mean,Outliers_Animalistic_model,Outliers_Mechanistic_model
1,0,I agree to the above and consent to my participation in this study,Yes,Yes,33,Female,,No,0,12,0,6,12,5,50,29,53,17,34,50,0,0,50,17,17,64,13,15,56,12,6,13,15,21,79,48,36,31,22,25,17,54,49,52,38,36,49,12,9,28,28,48,73,24.35,24.65,64.2,No,No
2,0,I agree to the above and consent to my participation in this study,Yes,Yes,45,Male,,No,0,13,0,0,0,8,0,0,68,32,33,70,0,3,39,0,0,70,6,53,77,3,16,21,19,7,55,0,0,20,0,0,4,0,0,70,2,3,1,0,0,0,0,0,80,15.65,5.85,68.6,No,No
3,0,I agree to the above and consent to my participation in this study,Yes,Yes,45,Female,,No,10,9,2,6,0,15,0,0,59,6,0,0,0,0,0,11,0,85,0,0,0,1,0,0,0,0,77,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,82,1.7,1.3,72.6,No,No
4,0,I agree to the above and consent to my participation in this study,Yes,Yes,23,Female,,No,35,10,26,19,23,34,17,23,65,46,6,41,15,10,22,38,23,64,56,12,80,19,32,28,24,20,63,33,18,34,25,25,51,28,20,55,50,19,54,21,16,51,18,32,55,30.95,26.75,60.4,No,No
5,0,I agree to the above and consent to my participation in this study,Yes,Yes,38,Male,,No,10,7,7,6,8,8,6,9,90,11,14,7,11,11,11,8,12,86,6,6,7,8,9,5,5,5,89,13,10,11,12,14,9,4,10,88,8,7,5,7,7,6,3,8,89,8.65,7.9,88.4,No,No
6,0,I agree to the above and consent to my participation in this study,Yes,Yes,24,Female,,No,15,20,14,0,0,0,0,3,65,0,0,0,0,0,0,0,0,100,10,18,89,37,0,17,10,0,58,13,15,11,17,18,6,8,7,71,12,28,31,15,0,64,12,9,69,17.25,7.7,72.6,No,No
7,0,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,49,0,0,0,0,0,0,0,54,0,0,100,0,0,54,0,0,100,100,23,100,0,38,100,0,0,100,100,100,0,100,100,100,100,100,0,100,47,42,100,0,100,58,34,0,48.05,39.2,50.8,No,No
8,0,I agree to the above and consent to my participation in this study,Yes,Yes,24,Male,,No,36,5,0,14,12,69,22,33,58,42,45,66,5,7,66,15,0,67,66,44,81,17,27,72,8,9,71,48,37,24,34,14,38,52,34,54,42,33,33,4,21,39,8,9,60,33.8,27.75,62,No,No
9,0,I agree to the above and consent to my participation in this study,Yes,Yes,32,Male,,No,40,47,50,36,50,49,53,41,58,50,41,44,18,35,52,39,36,76,52,53,53,28,53,55,54,49,62,47,50,47,28,49,50,51,50,59,51,52,50,29,52,52,54,53,66,43.3,48.85,64.2,No,No
10,0,I agree to the above and consent to my participation in this study,Yes,Yes,23,Female,,No,44,45,45,32,50,49,48,47,45,45,21,17,0,9,52,27,6,92,47,39,40,6,39,51,46,46,77,49,4,28,6,7,59,28,40,66,51,14,35,5,49,49,49,50,37,28.65,40.05,63.4,No,No
11,0,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,41,5,22,24,34,19,32,14,71,35,11,35,0,0,20,11,21,54,38,16,18,27,14,29,29,12,93,44,25,18,12,5,29,9,20,72,39,25,21,30,16,30,31,26,82,24.3,20.05,74.4,No,No
12,0,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,0,0,0,0,0,22,37,0,100,49,0,39,0,36,50,22,0,100,20,0,21,0,14,74,22,0,100,24,27,50,13,67,12,50,72,72,14,0,29,0,0,24,6,0,91,14.3,25.4,92.6,No,No
13,0,I agree to the above and consent to my participation in this study,Yes,Yes,24,Female,,No,27,1,44,14,30,50,46,36,58,49,37,13,2,28,50,13,38,40,42,28,59,12,41,50,43,18,61,39,27,54,5,35,50,50,6,73,19,21,46,23,28,50,37,25,51,28.1,36.2,56.6,No,No
14,0,I agree to the above and consent to my participation in this study,Yes,Yes,24,Male,,No,51,32,18,10,30,50,48,10,66,47,48,47,6,25,37,48,7,61,51,22,42,5,23,51,51,10,72,50,49,24,50,26,50,50,33,57,50,29,39,50,35,50,49,12,64,36,34.75,64,No,No
15,0,I agree to the above and consent to my participation in this study,Yes,Yes,22,Female,,No,28,16,8,8,15,50,38,20,62,31,30,28,0,8,29,17,6,89,23,28,60,9,15,47,30,22,78,35,23,15,8,18,21,23,18,71,42,25,17,5,23,21,42,27,68,21.95,24.5,73.6,No,No
16,0,I agree to the above and consent to my participation in this study,Yes,Yes,27,Female,,No,0,3,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,74,10,9,36,1,15,34,9,11,34,0,0,0,0,0,0,0,0,76,3,4,4,4,4,4,5,5,34,3.7,4.35,55.6,No,No
17,0,I agree to the above and consent to my participation in this study,Yes,Yes,21,Male,,No,36,75,35,7,35,34,25,30,65,25,57,42,14,37,33,41,17,86,43,72,43,29,25,50,43,44,74,38,57,25,3,23,37,14,16,87,28,78,37,26,17,44,33,23,64,38.5,31.05,75.2,No,No
